,Name,Sex upon Outcome,Adopt,Age_days,Sex,cfa_breed,coat_pattern,pattern,Cat_Kitten_Neonatal
42759,1,Neutered Male,1,71,Male,1,point,1,Kitten
42760,0,Intact Female,0,71,Female,0,tabby,1,Kitten
42761,1,Spayed Female,1,92,Female,0,tortie,1,Kitten
42762,1,Neutered Male,1,486,Male,0,no pattern,0,Adult
42763,1,Spayed Female,1,86,Female,0,tabby,1,Kitten
42764,0,Intact Female,0,736,Female,0,no pattern,0,Adult
42765,1,Intact Female,0,133,Female,0,torbie,1,Kitten
42766,1,Intact Male,0,53,Male,1,point,1,Kitten
42767,0,Neutered Male,1,65,Male,0,no pattern,0,Kitten
42768,1,Neutered Male,1,77,Male,0,no pattern,0,Kitten
42769,1,Intact Male,0,52,Male,0,tabby,1,Kitten
42770,1,Neutered Male,1,88,Male,0,tabby,1,Kitten
42771,1,Neutered Male,0,3656,Male,0,tabby,1,Adult
42772,0,Spayed Female,1,75,Female,0,calico,1,Kitten
42773,0,Intact Female,0,731,Female,0,calico,1,Adult
42774,0,Intact Female,0,22,Female,0,tabby,1,Neonatal
42775,0,Neutered Male,1,79,Male,0,tabby,1,Kitten
42776,1,Intact Male,0,95,Male,0,tabby,1,Kitten
42777,0,Intact Female,0,369,Female,0,no pattern,0,Adult
42778,1,Neutered Male,1,73,Male,0,no pattern,0,Kitten
42779,1,Intact Male,1,66,Male,0,tabby,1,Kitten
42780,0,Intact Male,0,30,Male,0,tabby,1,Neonatal
42781,0,Neutered Male,1,62,Male,0,tabby,1,Kitten
42782,1,Spayed Female,1,152,Female,0,no pattern,0,Kitten
42783,1,Neutered Male,1,1095,Male,0,tabby,1,Adult
42784,1,Spayed Female,1,3027,Female,0,calico,1,Adult
42785,1,Intact Female,0,59,Female,0,tabby,1,Kitten
42786,1,Neutered Male,1,80,Male,0,tabby,1,Kitten
42787,0,Intact Female,0,4,Female,0,tortie,1,Neonatal
42788,1,Neutered Male,0,2928,Male,0,no pattern,0,Adult
42789,0,Intact Male,0,46,Male,0,tabby,1,Kitten
42790,1,Spayed Female,1,98,Female,0,torbie,1,Kitten
42791,1,Spayed Female,0,747,Female,0,tabby,1,Adult
42792,1,Neutered Male,1,109,Male,0,tabby,1,Kitten
42793,0,Intact Female,0,22,Female,0,tabby,1,Neonatal
42794,0,Intact Male,0,46,Male,0,tabby,1,Kitten
42795,0,Intact Female,0,367,Female,0,torbie,1,Adult
42796,1,Spayed Female,1,85,Female,0,no pattern,0,Kitten
