,Name,Sex upon Outcome,Adopt,Age_days,Sex,cfa_breed,coat_pattern,pattern,Cat_Kitten_Neonatal
43090,1,Spayed Female,1,126,Female,0,torbie,1,Kitten
43091,0,Spayed Female,1,379,Female,0,torbie,1,Adult
43092,0,Intact Male,0,25,Male,0,no pattern,0,Neonatal
43093,1,Neutered Male,1,2225,Male,0,tabby,1,Adult
43094,0,Intact Male,0,32,Male,0,no pattern,0,Neonatal
43095,1,Intact Female,0,38,Female,0,tortie,1,Neonatal
43096,1,Neutered Male,1,617,Male,0,tabby,1,Adult
43097,1,Intact Male,1,66,Male,0,tabby,1,Kitten
43098,0,Intact Female,0,53,Female,0,calico,1,Kitten
43099,0,Spayed Female,1,91,Female,0,tabby,1,Kitten
